longitude	latitude	temperature moyenne
-66.378771221	41.01361	-8.88888888889
-67.0914643272	33.35528	5.55555555556
-67.3583404573	38.18472	-2.77777777778
-97.6007555838	48.52222	0.0
-62.2081603123	41.04667	-10.0
-56.9277274159	42.55194	-12.2222222222
-70.2009730768	43.77	-8.33333333333
-88.590832103	35.1441	1.66666666667
-63.5901262964	26.0719	15.5555555556
-63.2491430307	34.1852	5.55555555556
-85.8639735364	36.74361	0.0
-64.9450151309	26.585	13.3333333333
-75.8381849039	40.08028	4.44444444444
-66.4428662374	42.9666	-7.77777777778
-75.8952666768	38.95028	6.11111111111
-57.6230143498	40.84361	-6.11111111111
-63.767099626	27.49806	9.44444444444
-58.245574583	40.73417	-6.11111111111
-76.7600297512	43.5778	1.66666666667
-74.8628045732	35.333	8.88888888889
-81.6492839162	30.91194	13.8888888889
-77.2419839719	32.81917	10.5555555556
-67.0553270826	33.77917	5.55555555556
-93.5989464654	33.87194	13.3333333333
